epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3986,1.44048,2.33105,1.52076,0.86493,0.5578,0.57427,0.38511,1.33204,1.40618,1.35794,0.000470147,0.000470147,0.000470147
2,18.0504,1.2688,1.33029,1.40594,0.71942,0.76775,0.85737,0.55393,1.16864,1.23841,1.23549,0.00089963,0.00089963,0.00089963
3,26.8631,1.24451,1.19107,1.3508,0.80675,0.88246,0.8778,0.5681,1.21281,1.04331,1.23755,0.00128196,0.00128196,0.00128196
4,37.066,1.21028,1.12123,1.32174,0.81659,0.87692,0.87629,0.57415,1.14003,1.02099,1.242,0.00121679,0.00121679,0.00121679
5,47.278,1.19616,1.05112,1.30322,0.79261,0.86746,0.87525,0.5779,1.14105,0.97851,1.22092,0.00114606,0.00114606,0.00114606
6,57.5003,1.17308,1.03438,1.28489,0.81034,0.88756,0.88802,0.58416,1.18476,0.90446,1.2401,0.00107532,0.00107532,0.00107532
7,67.1374,1.15103,0.98557,1.26657,0.82406,0.89733,0.89141,0.58155,1.15119,0.87046,1.21557,0.00100459,0.00100459,0.00100459
8,75.5457,1.15684,0.9758,1.26075,0.82924,0.90703,0.91185,0.6046,1.09443,0.83815,1.19298,0.000933851,0.000933851,0.000933851
9,83.9202,1.12534,0.94331,1.24633,0.83017,0.87354,0.90153,0.60585,1.10947,0.9652,1.21475,0.000863116,0.000863116,0.000863116
10,93.1478,1.12778,0.92385,1.24052,0.82647,0.90824,0.90701,0.61104,1.10296,0.82241,1.20361,0.00079238,0.00079238,0.00079238
11,120.785,1.13536,0.91434,1.23889,0.8471,0.8583,0.8986,0.59013,1.1225,0.86693,1.26669,0.000721645,0.000721645,0.000721645
12,127.892,1.11116,0.88934,1.22775,0.82761,0.90035,0.89897,0.60811,1.08244,0.86467,1.19468,0.000650909,0.000650909,0.000650909
13,136.221,1.11376,0.86808,1.2435,0.84936,0.89965,0.91523,0.62575,1.06536,0.78568,1.20229,0.000580174,0.000580174,0.000580174
14,146.269,1.08735,0.83371,1.20981,0.8367,0.91217,0.92289,0.63499,1.04989,0.81171,1.19574,0.000509438,0.000509438,0.000509438
15,155.548,1.08213,0.8381,1.20501,0.81594,0.89887,0.90744,0.6174,1.0617,0.88358,1.19547,0.000438703,0.000438703,0.000438703
16,164.939,1.07159,0.83409,1.20044,0.8396,0.90024,0.90947,0.63119,1.05038,0.8022,1.18814,0.000367967,0.000367967,0.000367967
17,175.668,1.06423,0.80377,1.19541,0.85534,0.90454,0.91834,0.63352,1.03848,0.76752,1.18862,0.000297232,0.000297232,0.000297232
18,185.922,1.04754,0.78966,1.18262,0.84896,0.9009,0.91615,0.63446,1.03226,0.74909,1.17635,0.000226497,0.000226497,0.000226497
19,198.431,1.04565,0.7812,1.17727,0.85731,0.90426,0.91476,0.63783,1.02918,0.74998,1.17895,0.000155761,0.000155761,0.000155761
20,208.946,1.04265,0.76902,1.18463,0.85732,0.90132,0.91626,0.63907,1.02631,0.7336,1.17947,8.50255e-05,8.50255e-05,8.50255e-05
